"V1","V2"
"Agnes Weber","Alexander Tschäppät"
"Alexander Tschäppät","Andrea Hämmerle"
"Agnes Weber","Andreas Gross"
"Alexander Tschäppät","Andreas Gross"
"Andrea Hämmerle","Andreas Gross"
"Alexander Tschäppät","Andreas Herczog"
"Andrea Hämmerle","Andreas Herczog"
"Andreas Gross","Andreas Herczog"
"Alexander Tschäppät","Angeline Fankhauser"
"Andreas Gross","Angeline Fankhauser"
"Agnes Weber","Anita Thanei"
"Alexander Tschäppät","Anita Thanei"
"Andrea Hämmerle","Anita Thanei"
"Andreas Gross","Anita Thanei"
"Andreas Herczog","Anita Thanei"
"Angeline Fankhauser","Anita Thanei"
"Agnes Weber","Armin Jans"
"Alexander Tschäppät","Armin Jans"
"Andrea Hämmerle","Armin Jans"
"Andreas Gross","Armin Jans"
"Andreas Herczog","Armin Jans"
"Angeline Fankhauser","Armin Jans"
"Anita Thanei","Armin Jans"
"Andreas Gross","Barbara Geiser"
"Agnes Weber","Barbara Haering"
"Alexander Tschäppät","Barbara Haering"
"Andrea Hämmerle","Barbara Haering"
"Andreas Gross","Barbara Haering"
"Andreas Herczog","Barbara Haering"
"Angeline Fankhauser","Barbara Haering"
"Anita Thanei","Barbara Haering"
"Armin Jans","Barbara Haering"
"Alexander Tschäppät","Boris Banga"
"Andrea Hämmerle","Boris Banga"
"Andreas Gross","Boris Banga"
"Anita Thanei","Boris Banga"
"Armin Jans","Boris Banga"
"Albrecht Rychen","Brigitta M. Gadient"
"Anita Thanei","Cécile Bühlmann"
"Andreas Gross","Christian Grobet"
"Angeline Fankhauser","Christian Grobet"
"Alexander Tschäppät","Christiane Jaquet-Berger"
"Armin Jans","Christiane Jaquet-Berger"
"Christian Grobet","Christiane Jaquet-Berger"
"Albrecht Rychen","Christine Egerszegi-Obrist"
"Alexander Tschäppät","Christine Goll"
"Angeline Fankhauser","Christine Goll"
"Anita Thanei","Christine Goll"
"Armin Jans","Christine Goll"
"Barbara Haering","Christine Goll"
"Alexander Tschäppät","Christine Keller"
"Andrea Hämmerle","Christine Keller"
"Andreas Gross","Christine Keller"
"Andreas Herczog","Christine Keller"
"Angeline Fankhauser","Christine Keller"
"Anita Thanei","Christine Keller"
"Barbara Haering","Christine Keller"
"Boris Banga","Christine Keller"
"Christian Grobet","Christine Keller"
"Albrecht Rychen","Christoph Eymann"
"Andreas Gross","Christoph Eymann"
"Adriano Cavadini","Claude Frey"
"Albrecht Rychen","Claude Frey"
"Angeline Fankhauser","Claude Frey"
"Bernard Comby","Claude Frey"
"Boris Banga","Claude Frey"
"Charles Friderici","Claude Frey"
"Charles-Albert Antille","Claude Frey"
"Christian Waber","Claude Frey"
"Christiane Langenberger","Claude Frey"
"Christoph Eymann","Claude Frey"
"Claude Frey","Daniel Vogel"
"Agnes Weber","Didier Berberat"
"Alexander Tschäppät","Didier Berberat"
"Andrea Hämmerle","Didier Berberat"
"Andreas Gross","Didier Berberat"
"Andreas Herczog","Didier Berberat"
"Angeline Fankhauser","Didier Berberat"
"Anita Thanei","Didier Berberat"
"Armin Jans","Didier Berberat"
"Barbara Haering","Didier Berberat"
"Boris Banga","Didier Berberat"
"Christian Grobet","Didier Berberat"
"Christiane Jaquet-Berger","Didier Berberat"
"Christine Goll","Didier Berberat"
"Christine Keller","Didier Berberat"
"Claude Frey","Didier Berberat"
